Unnamed: 0,Codigo,Nombre,Apellido,Departamento,Cargo,Sucursal,Sueldo
,58,Alfredo,Cavada,Comercial,Director,Arequipa,4100
,56,Andrés,Rioja,Comercial,Ejecutivo,Arequipa,4700
,71,Antonia,Pérez,Comercial,Asistente,Arequipa,5150
,57,Antonio,González,Comercial,Vendedor,Arequipa,4650
,104,Aurelia,Navia,Marketing,Director,Arequipa,3410
,136,Carolina,Díaz,Comercial,Administrativo,Arequipa,6000
,28,Daniel,Carrasco,Marketing,Ejecutivo,Arequipa,3400
,141,Eugenio,Muñoz,Comercial,Asistente,Arequipa,2300
,74,Fernando,Carrera,Comercial,Director,Arequipa,2400
,133,Francisco,Vera,Comercial,Vendedor,Arequipa,3000
,42,Franco,Navarro,Comercial,Administrativo,Arequipa,6000
,101,Hugo,Ramirez,Marketing,Vendedor,Arequipa,2400
,69,José,Castillo,Comercial,Director,Arequipa,4200
,5,Juan,Meza,Marketing,Administrativo,Arequipa,6000
,70,Marcelo,Sanhueza,Administración,Administrativo,Arequipa,2400
,137,Margarita,Figueroa,Comercial,Asistente,Arequipa,2800
,138,Ricardo,Plaza,Comercial,Ejecutivo,Arequipa,3000
,17,Rodrigo,Gormáz,Comercial,Administrativo,Arequipa,3550
,60,Rodrigo,Vidal,Comercial,Ejecutivo,Arequipa,3700
,11,Sebastián,Pacheco,Comercial,Director,Arequipa,3180
,135,Sebastián,Araya,Comercial,Director,Arequipa,4200
,102,Silvana,Ramos,Administración,Director,Arequipa,5150
,4,Viviana,Castillo,Comercial,Director,Arequipa,4200
,106,Yamil,Riadi,Marketing,Administrativo,Arequipa,4200
,61,Alberto,Sanchez,Comercial,Asistente,Lima,4600
,18,Benjamín,González,Comercial,Director,Lima,4100
,59,Constanza,López,Comercial,Administrativo,Lima,3450
,132,Edgardo,Celis,Administración,Ejecutivo,Lima,4200
,140,Fermín,Sanhueza,Comercial,Director,Lima,4200
,6,Francisco,González,Administración,Asistente,Lima,2800
,121,Gabriela,Oliveros,Administración,Administrativo,Lima,3000
,103,José,Hevia,Comercial,Administrativo,Lima,3900
,62,Luis,Vera,Administración,Director,Lima,4000
,105,Nadir,Millalén,Administración,Director,Lima,2400
,41,Nicolás,Iturralde,Administración,Director,Lima,3400
,100,Pablo,Sanhueza,Comercial,Ejecutivo,Lima,4200
,131,Pablo,Iturralde,Marketing,Asistente,Lima,2400
,10,Ricardo,San Martín,Administración,Administrativo,Lima,3000
,24,Ricardo,Pizarro,Marketing,Vendedor,Lima,3900
,16,Rodrigo,Maldonado,Comercial,Director,Lima,3400
,139,Rogelio,Gallegos,Comercial,Vendedor,Lima,3000
,134,Rómulo,Silva,Comercial,Director,Lima,3000
,12,Sebastián,Uribe,Comercial,Administrativo,Lima,2500
,68,Verónica,Donoso,Administración,Administrativo,Lima,3100
,91,Alejandra,Alarcón,Comercial,Vendedor,Trujillo,4100
,47,Alison,González,Administración,Vendedor,Trujillo,3700
,111,Amaro,Gomez,Administración,Administrativo,Trujillo,2400
,34,Andrea,Molina,Marketing,Vendedor,Trujillo,3410
,1,Andrés,Zurita,Administración,Asistente,Trujillo,2600
,8,Antonia,Carrera,Administración,Vendedor,Trujillo,4200
,108,Bernardita,Muñoz,Comercial,Ejecutivo,Trujillo,5150
,83,Camila,Catrileo,Administración,Asistente,Trujillo,4100
,142,Camila,Vega,Comercial,Ejecutivo,Trujillo,3400
,27,César,Celis,Comercial,Asistente,Trujillo,2800
,88,Cristian,Ramos,Administración,Administrativo,Trujillo,3400
,65,Cristián,Araya,Marketing,Ejecutivo,Trujillo,3550
,122,Fabiana,Silva,Administración,Director,Trujillo,4200
,13,Federico,González,Marketing,Asistente,Trujillo,4600
,26,Humberto,Ampuero,Comercial,Asistente,Trujillo,2400
,38,Jorge,Devia,Administración,Asistente,Trujillo,2650
,84,Jorge,Puyol,Comercial,Ejecutivo,Trujillo,3450
,36,Julio,Silva,Marketing,Asistente,Trujillo,3400
,147,Lorena,Millar,Administración,Asistente,Trujillo,4700
,128,Loreto,Lepe,Marketing,Administrativo,Trujillo,3000
,97,Macarena,Cereceda,Marketing,Director,Trujillo,3900
,72,Marcela,Espinoza,Comercial,Ejecutivo,Trujillo,3900
,143,María José,Larenas,Administración,Vendedor,Trujillo,4100
,64,Michael,Benavides,Administración,Asistente,Trujillo,3400
,44,Nelson,Riquelme,Comercial,Ejecutivo,Trujillo,4650
,90,Olga,Avalos,Comercial,Ejecutivo,Trujillo,3550
,117,Patricia,Navia,Comercial,Director,Trujillo,3410
,73,Roberto,Cereceda,Administración,Vendedor,Trujillo,3410
,89,Teresa,Pino,Marketing,Asistente,Trujillo,3400
,49,Valentina,Astudillo,Marketing,Administrativo,Trujillo,3400
,46,Vanessa,Weber,Marketing,Ejecutivo,Trujillo,3450
,51,Ximena,Plaza,Marketing,Ejecutivo,Trujillo,2650
,25,Alberto,Donoso,Comercial,Director,Huancayo,3410
,19,Andres,Castillo,Comercial,Administrativo,Huancayo,2900
,15,Andrés,Zelada,Administración,Vendedor,Huancayo,3400
,113,Antonio,Toro,Administración,Administrativo,Huancayo,3410
,52,Bárbara,Vergara,Administración,Vendedor,Huancayo,4010
,115,Bernardo,Meza,Administración,Ejecutivo,Huancayo,4200
,35,Camila,Vallejos,Marketing,Director,Huancayo,2900
,67,Camila,Espina,Marketing,Director,Huancayo,2900
,14,Eduardo,Carrera,Comercial,Ejecutivo,Huancayo,4000
,55,Eduardo,Rojas,Comercial,Director,Huancayo,6000
,54,Felipe,Rojas,Comercial,Ejecutivo,Huancayo,3400
